ID,Priority,WCAG Criterion,Level,Status,Finding,Location,Measured,Required,Fix,Effort,Phase,Verified By,Owner,Done
P1.1,P1,1.4.3 Contrast (Minimum),AA,FIXED,Primary CTA button text fails AA,src/styles/marketing.css:293 (.btn-primary); src/components/nav/SiteHeader.astro:60,2.63:1 (#eeeeee on #40a578),4.5:1,Add --refinery-color-accent-dark (~#2f7d59) for text-bearing accent surfaces; keep #40a578 for non-text use,S,1,axe color-contrast,"axe-core 4.10.2 re-sweep, 9 routes, reveal forced: 0 color-contrast violations",2026-08-17
P1.2,P1,1.4.3 Contrast (Minimum),AA,FIXED,Brand accent as text color fails AA in ~150 instances,"text-brand-accent utility: NewsCard.astro:66, TeamCard, PeopleBios, SummaryCard, about.astro, get-involved.astro, what-we-do.astro, programs-events.astro",3.05:1 on #ffffff / 2.89:1 on #f7f9fa,4.5:1,Retarget text-brand-accent to the dark accent token on light backgrounds (accent is fine on dark surface at 5.13:1),S,1,axe color-contrast,"axe-core 4.10.2 re-sweep, 9 routes, reveal forced: 0 color-contrast violations",2026-08-17
P1.3,P1,1.4.3 Contrast (Minimum),AA,FIXED,Card and nav metadata text fails AA (30+ per grid page),src/components/cards/NewsCard.astro:47; TeamCard; src/components/nav/SiteHeader.astro:39,2.63:1 (#90a1b9 on #ffffff),4.5:1,text-slate-400 -> text-slate-500 (#62748e = 4.86:1),S,1,axe color-contrast,"axe-core 4.10.2 re-sweep, 9 routes, reveal forced: 0 color-contrast violations",2026-08-17
P1.4,P1,1.4.3 Contrast (Minimum),AA,FIXED,FIRST trademark disclaimer fails AA on all 11 pages,src/components/nav/SiteFooter.astro:59,3.8:1 (#71717b on #e4e4e7),4.5:1,text-zinc-500 -> text-zinc-600 (#52525c = 6.0:1),XS,1,axe color-contrast,"axe-core 4.10.2 re-sweep, 9 routes, reveal forced: 0 color-contrast violations",2026-08-17
P1.5,P1,4.1.3 Status Messages / 2.4.3 Focus Order,AA / A,FIXED,Contact form success never announced; focus left on display:none element,src/components/forms/ContactDialogs.astro:293-295; src/components/forms/FormDialog.astro:76,No role/aria-live/tabindex on [data-form-success]; activeElement offsetParent null after swap,Announced status + focus on rendered element,"tabindex=""-1"" on the success panel + success.focus() after the class swap; aria-hidden on the decorative tick; statusEl class reset no longer drops mt-4. Class-toggle state flag left intact.",S,2,DOM inspection (needs screen reader confirmation),axe re-sweep 9 routes: 0 violations of any rule; behaviour confirmed in Safari,2026-08-17
P1.6,P1,4.1.2 Name Role Value,A,FIXED,"Zeffy donation iframe has no accessible name (injected at runtime, not in markup)",src/pages/donate.astro:57,CORRECTION: the repo iframe (donate.astro:58) already had a title. The unnamed frame is injected by zeffy-embed.js into [data-zeffy-embed] and cannot be fixed in markup.,Accessible name present,"MutationObserver in donate.astro titles the injected iframe; only sets a title when absent, disconnects on first hit, 15s ceiling",XS,2,axe frame-title,"Safari: injected iframe title now ""Donation form""; all 3 page iframes named",2026-08-17
P1.7,P1,2.2.2 Pause Stop Hide,A,FIXED,Homepage carousel auto-scrolls indefinitely with no pause control,src/components/marketing/Carousel.astro:130-176 (used on src/pages/index.astro),20px/s continuous rAF; hover/focus pause only,Explicit user-operable pause mechanism,Sticky pause/play toggle beside prev/next in Carousel.astro; unlike hover/interaction pause it does not time out. Hidden entirely when prefers-reduced-motion holds (nothing to pause).,M,3,Manual,axe re-sweep 9 routes: 0 violations of any rule; toggle/dialog behaviour confirmed in Safari,2026-08-17
P1.8,P1,1.4.10 Reflow,AA,FIXED,Homepage h1 visually clipped at 320px viewport,src/pages/index.astro hero section (overflow-hidden ancestor),"413px h1 box in 320px viewport at 48px font; ""infrastructure"" truncated",No content loss at 320px,text-4xl sm:text-5xl on the hero heading (or hyphens:auto / overflow-wrap:break-word),XS,2,Screenshot + measurement at 320x800,axe re-sweep 9 routes: 0 violations of any rule; behaviour confirmed in Safari,2026-08-17
P2.1,P2,1.4.1 Use of Color,A,FIXED,Inline body link distinguished by color alone,"src/pages/get-involved.astro (""the teams we support"")",Underline on hover only,Non-color distinction or 3:1 vs surrounding text,Apply underline by default rather than on hover,XS,2,axe link-in-text-block,axe re-sweep 9 routes: 0 violations of any rule; behaviour confirmed in Safari,2026-08-17
P2.2,P2,1.3.1 Info and Relationships,A,FIXED,News index skips h1 -> h3 across 25 cards,src/pages/news/index.astro; src/components/cards/NewsCard.astro:64,h1 then 25 consecutive h3,Sequential heading levels,Add a visually-hidden h2 above the grid or demote card titles via prop; do NOT change NewsCard globally,S,2,axe heading-order,axe re-sweep 9 routes: 0 violations of any rule; behaviour confirmed in Safari,2026-08-17
P2.3,P2,2.4.1 Bypass Blocks,A,FIXED,No skip link anywhere on the site,src/layouts/MarketingLayout.astro,No in-page anchor exists; 8 tab stops before main,Bypass mechanism for keyboard users,"Add visually-hidden-until-focus skip link as first body child; id=""main"" tabindex=""-1"" on main. Landmarks already satisfy ARIA11 for screen readers but not sighted keyboard users",S,2,DOM inspection,axe re-sweep 9 routes: 0 violations of any rule; behaviour confirmed in Safari,2026-08-17
P2.4,P2,1.4.1 Use of Color / 4.1.2,A,FIXED,Active nav link has no aria-current; state is color + aria-hidden dash,src/components/nav/SiteHeader.astro:33-52,aria-current null on all 6 primary nav links,"aria-current=""page"" on active link","Shared navCurrent() helper in SiteHeader.astro: aria-current=""page"" on exact match, ""true"" on ancestor section; applied to desktop AND mobile drawer (which previously had no active state at all)",XS,2,DOM inspection,axe re-sweep 9 routes: 0 violations of any rule; behaviour confirmed in Safari,2026-08-17
P3.1,P3,4.1.2 Name Role Value,A,FIXED,Dialog opened with show() lacks aria-modal,src/components/forms/FormDialog.astro:16,aria-modal null,-,"Static aria-modal=""true"" on the <dialog> element — safe since it is display:none while [open] is absent, so it costs nothing closed and only applies once open.",XS,3,DOM inspection,axe re-sweep 9 routes: 0 violations of any rule; toggle/dialog behaviour confirmed in Safari,2026-08-17
P3.2,P3,3.2.5 Change on Request,AAA,FIXED,New-window links carry no programmatic warning,Site-wide; src/components/cards/NewsCard.astro; src/styles/marketing.css:80,CSS ::after arrow is decorative; accessible name omits new-window,-,"Central labelNewTabLinks() script in MarketingLayout.astro, mirroring initReveal's astro:page-load pattern. Extends aria-label for icon-only links; appends a sr-only span for everything else. One pass covers hand-written .astro AND MDX content, since rehype-external-links.mjs already sets target=""_blank"" before this runs.",S,3,DOM inspection,axe re-sweep 10 routes (incl. an MDX article): 0 violations; verified aria-label extension and sr-only span on both link types in Safari-equivalent DOM,2026-08-17
P3.3,P3,3.3.1 Error Identification,A,FIXED,Unused data-field-error elements wired into aria-describedby,src/components/forms/FormField.astro,Never populated; validation is native reportValidity(),-,"Removed — confirmed dead: nothing in ContactDialogs.astro ever populated data-field-error. aria-describedby now points only at the hint id, or is omitted entirely when there is no hint.",S,3,Source review,axe re-sweep 9 routes: 0 violations of any rule; toggle/dialog behaviour confirmed in Safari,2026-08-17
P3.4,P3,1.4.11 Non-text Contrast,AA,FIXED,Focus ring passes with almost no margin,"src/styles/marketing.css:283, 211",3.06:1 (#40a578 on #ffffff),3.0:1,Point focus rings at the new dark accent token once P1.1 lands,XS,1,Contrast calculation,"axe-core 4.10.2 re-sweep, 9 routes, reveal forced: 0 color-contrast violations",2026-08-17
G1,Gap,-,-,Attempted - blocked,Screen reader testing attempted; automated VoiceOver capture not viable on macOS 26,Whole site,"VoiceOver started OK; content of last phrase -> -1728, vo cursor move -> -1708 (both still in the sdef dictionary but unimplemented)",At least one real screen reader,Routes remaining: manual VoiceOver+Safari by a human; NVDA+Firefox on Windows (unaffected); or automated VoiceOver on macOS 15 or earlier. Re-validates P1.5.,M,4,-,Guidepup 0.33.2 + Safari 26.5.2 + macOS 26.5.2; see audit report section 12,
G2,Gap,-,-,Open,No color-blindness simulation performed,Whole site,Not run,Deuteranopia at minimum,Simulate after Phase 1 lands; focus on accent-on-white affordances,S,4,-,,
G3,Gap,-,-,Open,No reading-level measurement,Whole site,Not computed,Qualitative pass only was done,Compute Flesch-Kincaid or equivalent if a cognitive-accessibility claim is needed,S,4,-,,
G4,Gap,-,-,Open,Production build not scanned,Whole site,All testing against astro dev on :4321,Build output verified,npm run build && npm run preview then re-run axe before any formal conformance claim,S,4,-,,
G5,Gap,-,-,Open,Reveal animations defeat automated scanning,src/layouts/MarketingLayout.astro; [data-reveal],First axe pass under-reported ~3x; IntersectionObserver never fires offscreen,Scans must force reveal,"Any CI a11y gate must remove js-reveal and add .is-revealed to all [data-reveal] before scanning, or it will silently miss every card grid",S,4,-,,
